,top_k,temperature,epoch,lgan_mmd-CD,lgan_cov-CD,lgan_mmd_smp-CD,1-NN-CD-acc_t,1-NN-CD-acc_f,1-NN-CD-acc,fid
0,3,0.8,0,0.008033872582018375,0.40625,0.011706899851560593,1.0,0.84375,0.921875,23.645496368408203
0,3,0.8,1,0.007269879337400198,0.34375,0.010098520666360855,0.90625,0.875,0.890625,23.847074508666992
0,3,0.8,2,0.007690585218369961,0.4375,0.01002806331962347,0.90625,0.875,0.890625,25.55161476135254
0,3,0.8,3,0.008124515414237976,0.59375,0.01188117079436779,0.90625,0.875,0.890625,26.36920166015625
0,3,0.8,4,0.009126929566264153,0.28125,0.01053820364177227,0.96875,0.84375,0.90625,24.128406524658203
0,3,0.8,5,0.007959641516208649,0.40625,0.011178387328982353,0.90625,0.875,0.890625,25.50212287902832
0,3,0.8,6,0.012881617993116379,0.375,0.011905788443982601,1.0,0.9375,0.96875,25.542539596557617
0,3,0.8,7,0.008500158786773682,0.28125,0.007325922138988972,0.875,0.90625,0.890625,27.48019027709961
0,3,0.8,8,0.010247956030070782,0.3125,0.01181772816926241,0.90625,0.875,0.890625,24.196096420288086
0,3,0.8,9,0.00890357419848442,0.40625,0.009538523852825165,0.96875,0.8125,0.890625,21.22810935974121
0,3,0.8,10,0.007436932064592838,0.4375,0.012971712276339531,1.0,0.875,0.9375,27.145557403564453
0,3,0.8,11,0.010524384677410126,0.3125,0.00830378383398056,1.0,0.96875,0.984375,20.913240432739258
0,3,0.8,12,0.008860491216182709,0.40625,0.009533688426017761,0.9375,0.90625,0.921875,22.218191146850586
0,3,0.8,13,0.0080000264570117,0.375,0.01043328084051609,0.9375,0.90625,0.921875,24.577373504638672
0,3,0.8,14,0.006892564706504345,0.40625,0.007169376127421856,0.9375,0.90625,0.921875,18.38629913330078
0,3,0.8,15,0.01282514724880457,0.375,0.014743870124220848,0.9375,0.9375,0.9375,29.54155158996582
0,3,0.8,16,0.009516425430774689,0.40625,0.009553194046020508,0.9375,0.90625,0.921875,22.686731338500977
0,3,0.8,17,0.00919612217694521,0.375,0.014763351529836655,0.9375,0.84375,0.890625,33.9884033203125
0,3,0.8,18,0.006888618227094412,0.40625,0.009928465820848942,0.9375,0.78125,0.859375,23.04496955871582
0,3,0.8,19,0.008600530214607716,0.25,0.008607937954366207,0.96875,0.84375,0.90625,19.58885955810547
0,3,0.8,20,0.008578415960073471,0.40625,0.009493116289377213,0.90625,0.875,0.890625,21.941001892089844
0,3,0.8,21,0.008414443582296371,0.28125,0.009197496809065342,0.90625,0.90625,0.90625,20.007083892822266
0,3,0.8,22,0.007647073827683926,0.46875,0.010167988017201424,0.875,0.875,0.875,24.951396942138672
0,3,0.8,23,0.008801592513918877,0.34375,0.010836508125066757,1.0,0.84375,0.921875,21.926929473876953
0,3,0.8,24,0.009158175438642502,0.34375,0.011350039392709732,1.0,0.875,0.9375,23.14647102355957
0,3,0.8,25,0.006075317971408367,0.3125,0.010870249941945076,0.9375,0.875,0.90625,26.52530860900879
0,3,0.8,26,0.008738486096262932,0.40625,0.014125926420092583,1.0,0.875,0.9375,30.95723533630371
0,3,0.8,27,0.00990145280957222,0.4375,0.009469290263950825,0.96875,0.78125,0.875,24.62384796142578
0,3,0.8,28,0.009996572509407997,0.40625,0.013906227424740791,0.84375,0.90625,0.875,30.237171173095703
0,3,0.8,29,0.008515015244483948,0.375,0.012199186719954014,0.9375,0.8125,0.875,23.90036964416504
0,3,0.8,30,0.009085736237466335,0.3125,0.011913185939192772,0.9375,0.9375,0.9375,27.56342315673828
0,3,0.8,31,0.00785151682794094,0.40625,0.012979823164641857,0.96875,0.90625,0.9375,31.96720314025879
0,3,1.0,0,0.008942424319684505,0.28125,0.011474261991679668,0.9375,0.90625,0.921875,31.022621154785156
0,3,1.0,1,0.00970698706805706,0.40625,0.01125991903245449,0.9375,0.78125,0.859375,23.549962997436523
0,3,1.0,2,0.007789852563291788,0.34375,0.009949574247002602,0.9375,0.90625,0.921875,21.638208389282227
0,3,1.0,3,0.010251319035887718,0.28125,0.011435532942414284,0.96875,0.90625,0.9375,25.31064796447754
0,3,1.0,4,0.012518223375082016,0.3125,0.013721253722906113,1.0,0.90625,0.953125,27.713022232055664
0,3,1.0,5,0.010078583844006062,0.4375,0.0145343616604805,1.0,0.96875,0.984375,24.4915828704834
0,3,1.0,6,0.008657997474074364,0.34375,0.013001923449337482,0.96875,0.90625,0.9375,26.518169403076172
0,3,1.0,7,0.008658722043037415,0.375,0.012632491998374462,0.9375,0.875,0.90625,22.6154842376709
0,3,1.0,8,0.011653013527393341,0.28125,0.011626670137047768,0.875,0.84375,0.859375,26.213300704956055
0,3,1.0,9,0.010377542115747929,0.375,0.012848619371652603,0.875,0.90625,0.890625,29.48848533630371
0,3,1.0,10,0.009401356801390648,0.28125,0.012839642353355885,0.9375,0.9375,0.9375,26.416154861450195
0,3,1.0,11,0.011105673387646675,0.375,0.013839438557624817,1.0,0.8125,0.90625,28.155166625976562
0,3,1.0,12,0.010769323445856571,0.40625,0.009026000276207924,0.96875,0.875,0.921875,19.133010864257812
0,3,1.0,13,0.008607633411884308,0.28125,0.010958675295114517,0.96875,0.78125,0.875,25.50482749938965
0,3,1.0,14,0.009696371853351593,0.375,0.013578196987509727,0.9375,0.90625,0.921875,24.6298885345459
0,3,1.0,15,0.009158749133348465,0.34375,0.010543262585997581,0.96875,0.875,0.921875,26.074617385864258
0,3,1.0,16,0.007259199395775795,0.3125,0.012353237718343735,0.9375,0.90625,0.921875,23.941143035888672
0,3,1.0,17,0.009580759331583977,0.375,0.01088063232600689,1.0,0.875,0.9375,28.894866943359375
0,3,1.0,18,0.011135898530483246,0.3125,0.012544574216008186,0.9375,0.875,0.90625,26.833900451660156
0,3,1.0,19,0.010615904815495014,0.34375,0.012602277100086212,0.96875,0.84375,0.90625,26.7259521484375
0,3,1.0,20,0.009996731765568256,0.25,0.009431297890841961,1.0,0.875,0.9375,18.773210525512695
0,3,1.0,21,0.009296271950006485,0.28125,0.011580505408346653,1.0,0.90625,0.953125,29.950347900390625
0,3,1.0,22,0.012713618576526642,0.3125,0.012105613946914673,1.0,0.90625,0.953125,26.679691314697266
0,3,1.0,23,0.009655240923166275,0.34375,0.00964869000017643,0.96875,0.875,0.921875,24.511316299438477
0,3,1.0,24,0.009879924356937408,0.34375,0.012518488802015781,0.96875,0.8125,0.890625,30.127470016479492
0,3,1.0,25,0.008608810603618622,0.34375,0.010800161398947239,0.9375,0.875,0.90625,22.690227508544922
0,3,1.0,26,0.007855400443077087,0.40625,0.012419154867529869,0.90625,0.8125,0.859375,23.5261287689209
0,3,1.0,27,0.009417176246643066,0.25,0.011310222558677197,0.96875,0.90625,0.9375,22.343318939208984
0,3,1.0,28,0.00800534337759018,0.375,0.009386099874973297,0.96875,0.84375,0.90625,20.589641571044922
0,3,1.0,29,0.009184231981635094,0.3125,0.012174095027148724,0.96875,0.96875,0.96875,23.792802810668945
0,3,1.0,30,0.010178051888942719,0.3125,0.011500952765345573,0.9375,0.875,0.90625,24.916475296020508
0,3,1.0,31,0.009984876960515976,0.3125,0.013195866718888283,0.96875,0.96875,0.96875,29.280746459960938
0,5,0.8,0,0.012545207515358925,0.40625,0.017512187361717224,0.96875,0.90625,0.9375,30.27283477783203
0,5,0.8,1,0.008306987583637238,0.34375,0.012175660580396652,0.90625,0.75,0.828125,29.061206817626953
0,5,0.8,2,0.007836773991584778,0.28125,0.012947771698236465,1.0,0.875,0.9375,30.78860855102539
0,5,0.8,3,0.008803214877843857,0.34375,0.022908339276909828,0.96875,0.84375,0.90625,37.6796760559082
0,5,0.8,4,0.008531713858246803,0.34375,0.019535185769200325,1.0,1.0,1.0,38.297828674316406
0,5,0.8,5,0.012572316452860832,0.34375,0.01826583221554756,0.9375,0.90625,0.921875,35.90537643432617
0,5,0.8,6,0.009045607410371304,0.40625,0.022169020026922226,1.0,0.875,0.9375,38.08279037475586
0,5,0.8,7,0.009599767625331879,0.34375,0.015964198857545853,0.96875,0.78125,0.875,31.95748519897461
0,5,0.8,8,0.009809572249650955,0.25,0.012930559925734997,0.90625,0.90625,0.90625,25.74588394165039
0,5,0.8,9,0.011325745843350887,0.375,0.013317950069904327,0.96875,0.84375,0.90625,28.69061851501465
0,5,0.8,10,0.008729100227355957,0.3125,0.009883265942335129,0.9375,0.8125,0.875,29.18338966369629
0,5,0.8,11,0.009268876165151596,0.34375,0.012719464488327503,0.96875,0.84375,0.90625,22.10439682006836
0,5,0.8,12,0.010569257661700249,0.28125,0.017051197588443756,0.96875,0.78125,0.875,34.87065887451172
0,5,0.8,13,0.009158819913864136,0.4375,0.012341031804680824,0.96875,0.90625,0.9375,26.058420181274414
0,5,0.8,14,0.009141861461102962,0.3125,0.009356969967484474,0.96875,0.78125,0.875,19.316444396972656
0,5,0.8,15,0.008908046409487724,0.40625,0.01612497679889202,1.0,0.84375,0.921875,31.071332931518555
0,5,0.8,16,0.0075642820447683334,0.375,0.014396702870726585,0.9375,0.90625,0.921875,25.743022918701172
0,5,0.8,17,0.010467675514519215,0.46875,0.015347015112638474,0.90625,0.875,0.890625,30.90578269958496
0,5,0.8,18,0.011595431715250015,0.34375,0.01719827577471733,0.9375,0.78125,0.859375,25.79060935974121
0,5,0.8,19,0.009708072990179062,0.28125,0.01162368431687355,0.90625,0.90625,0.90625,27.049692153930664
0,5,0.8,20,0.009745894931256771,0.375,0.012000104412436485,0.90625,0.90625,0.90625,27.496068954467773
0,5,0.8,21,0.01230370532721281,0.3125,0.021197674795985222,1.0,1.0,1.0,35.11351776123047
0,5,0.8,22,0.010097618214786053,0.25,0.014407023787498474,0.96875,0.84375,0.90625,28.384132385253906
0,5,0.8,23,0.010602733120322227,0.3125,0.013825736939907074,0.9375,0.84375,0.890625,29.022724151611328
0,5,0.8,24,0.009983062744140625,0.3125,0.018922343850135803,0.9375,0.9375,0.9375,31.31512451171875
0,5,0.8,25,0.013249140232801437,0.375,0.017757540568709373,0.90625,0.84375,0.875,35.42228698730469
0,5,0.8,26,0.009783816523849964,0.3125,0.013260751962661743,1.0,0.78125,0.890625,24.907161712646484
0,5,0.8,27,0.011096126399934292,0.34375,0.014811924658715725,0.90625,0.84375,0.875,30.044879913330078
0,5,0.8,28,0.009940339252352715,0.3125,0.013293007388710976,0.96875,0.84375,0.90625,31.100133895874023
0,5,0.8,29,0.008746710605919361,0.375,0.01558288186788559,0.90625,0.875,0.890625,27.611980438232422
0,5,0.8,30,0.009117668494582176,0.4375,0.01660030521452427,0.9375,0.84375,0.890625,28.791664123535156
0,5,0.8,31,0.008760272525250912,0.375,0.012397974729537964,0.96875,0.78125,0.875,29.94825553894043
0,5,1.0,0,0.008227862417697906,0.34375,0.009610908105969429,0.9375,0.875,0.90625,22.79547119140625
0,5,1.0,1,0.009631411172449589,0.34375,0.009750204160809517,1.0,0.875,0.9375,25.354232788085938
0,5,1.0,2,0.009043513797223568,0.4375,0.010870655998587608,0.96875,0.84375,0.90625,22.212167739868164
0,5,1.0,3,0.010044863447546959,0.375,0.011633321642875671,1.0,0.78125,0.890625,27.512235641479492
0,5,1.0,4,0.010183310136198997,0.375,0.011859385296702385,0.9375,0.8125,0.875,29.65949058532715
0,5,1.0,5,0.011251669377088547,0.375,0.007420645095407963,0.875,0.875,0.875,19.782411575317383
0,5,1.0,6,0.01106092520058155,0.40625,0.011087493039667606,0.875,0.9375,0.90625,24.060317993164062
0,5,1.0,7,0.007744592614471912,0.375,0.01005292683839798,0.96875,0.78125,0.875,22.915515899658203
0,5,1.0,8,0.010544460266828537,0.375,0.008751869201660156,0.9375,0.875,0.90625,23.336244583129883
0,5,1.0,9,0.008122071623802185,0.34375,0.010190666653215885,0.96875,0.84375,0.90625,24.178646087646484
0,5,1.0,10,0.011530391871929169,0.375,0.009152643382549286,1.0,0.78125,0.890625,20.686450958251953
0,5,1.0,11,0.008437968790531158,0.40625,0.009371294640004635,1.0,0.84375,0.921875,23.371681213378906
0,5,1.0,12,0.008520243689417839,0.34375,0.00865731667727232,0.96875,0.90625,0.9375,20.77366065979004
0,5,1.0,13,0.010004723444581032,0.375,0.008052980527281761,0.90625,0.84375,0.875,25.559030532836914
0,5,1.0,14,0.011940216645598412,0.28125,0.008754057809710503,0.875,0.96875,0.921875,22.476783752441406
0,5,1.0,15,0.010133466683328152,0.375,0.010118965990841389,0.875,0.875,0.875,23.788490295410156
0,5,1.0,16,0.011168901808559895,0.40625,0.008176933042705059,1.0,0.9375,0.96875,24.957664489746094
0,5,1.0,17,0.010031454265117645,0.40625,0.00921945832669735,0.96875,0.875,0.921875,27.066753387451172
0,5,1.0,18,0.008809832856059074,0.3125,0.00785689614713192,0.9375,0.90625,0.921875,28.182785034179688
0,5,1.0,19,0.010097699239850044,0.3125,0.010536104440689087,0.90625,0.90625,0.90625,24.78643226623535
0,5,1.0,20,0.011990102007985115,0.375,0.009399719536304474,1.0,0.90625,0.953125,25.566089630126953
0,5,1.0,21,0.0079768355935812,0.3125,0.009714151732623577,1.0,0.84375,0.921875,21.374649047851562
0,5,1.0,22,0.011329663917422295,0.25,0.010418777354061604,0.96875,0.78125,0.875,27.558448791503906
0,5,1.0,23,0.009915642440319061,0.34375,0.009504654444754124,0.9375,0.90625,0.921875,23.70611000061035
0,5,1.0,24,0.009525280445814133,0.40625,0.01026723813265562,0.96875,0.90625,0.9375,22.15640640258789
