,mnist_loss,mnist_acc,train/loss,lr,val/loss,_timestamp,_step,_runtime,mfu,iter
0,4.148148059844971,0.09375,,,,1719008726.3898005,0,34.62952756881714,,0
1,,,5.673244953155518,0.0,5.673263072967529,1719008729.031925,1,37.27165198326111,-100.0,0
2,3.7687907218933105,0.1875,,,,1719008806.9090302,2,115.14875721931458,,250
3,,,3.600872039794922,0.000375,3.5887584686279297,1719008809.1679254,3,117.40765237808228,-100.0,250
4,4.303024768829346,0.09375,,,,1719008886.8551605,4,195.0948874950409,,500
5,,,3.5205538272857666,0.00075,3.5354506969451904,1719008889.034914,5,197.2746410369873,-100.0,500
6,4.295627593994141,0.109375,,,,1719008966.695101,6,274.934828042984,,750
7,,,3.4428608417510986,0.001125,3.449618339538574,1719008969.0195558,7,277.2592828273773,-100.0,750
8,3.656226396560669,0.25,,,,1719009047.977736,8,356.21746301651,,1000
9,,,3.3417046070098877,0.0015,3.3356146812438965,1719009050.170795,9,358.41052198410034,-100.0,1000
10,3.9164624214172363,0.15625,,,,1719009127.2616384,10,435.5013654232025,,1250
11,,,3.1918070316314697,0.001875,3.186098337173462,1719009129.4200053,11,437.65973234176636,-100.0,1250
12,3.4543380737304688,0.25,,,,1719009206.111251,12,514.3509781360626,,1500
13,,,3.0275371074676514,0.00225,3.008528709411621,1719009208.2711997,13,516.5109267234802,-100.0,1500
14,3.1729729175567627,0.265625,,,,1719009284.8722284,14,593.1119554042816,,1750
15,,,2.8846914768218994,0.002625,2.9091343879699707,1719009287.0435476,15,595.2832746505737,-100.0,1750
16,3.203535556793213,0.296875,,,,1719009363.92233,16,672.1620569229126,,2000
17,,,2.8185274600982666,0.003,2.8097705841064453,1719009366.0990293,17,674.3387563228607,-100.0,2000
18,2.7375705242156982,0.359375,,,,1719009442.7436547,18,750.9833817481995,,2250
19,,,2.726189136505127,0.0029985961268332406,2.7237179279327393,1719009444.9186437,19,753.1583707332611,-100.0,2250
20,2.763983964920044,0.40625,,,,1719009521.8565829,20,830.0963099002838,,2500
21,,,2.6599390506744385,0.0029943871796853246,2.6737232208251953,1719009523.9891543,21,832.2288813591003,-100.0,2500
22,2.650320291519165,0.34375,,,,1719009600.9129958,22,909.1527228355408,,2750
23,,,2.643831253051758,0.0029873811705263707,2.6528162956237793,1719009603.1258447,23,911.3655717372894,-100.0,2750
24,3.2069480419158936,0.296875,,,,1719009680.5354369,24,988.7751638889313,,3000
25,,,2.6192145347595215,0.002977591435693007,2.6126129627227783,1719009682.6606503,25,990.9003772735596,-100.0,3000
26,2.8839385509490967,0.34375,,,,1719009760.0361125,26,1068.2758395671844,,3250
27,,,2.574817657470703,0.002965036610501902,2.5932137966156006,1719009762.1681354,27,1070.4078624248505,-100.0,3250
28,2.4475526809692383,0.40625,,,,1719009839.0305457,28,1147.270272731781,,3500
29,,,2.5465381145477295,0.0029497405937763755,2.5524837970733643,1719009841.230936,29,1149.4706630706787,-100.0,3500
30,2.722465991973877,0.34375,,,,1719009918.4746528,30,1226.714379787445,,3750
31,,,2.5150201320648193,0.0029317325023536346,2.5405569076538086,1719009920.598,31,1228.8377270698547,-100.0,3750
32,2.3997201919555664,0.40625,,,,1719009997.3782387,32,1305.6179656982422,,4000
33,,,2.5363290309906006,0.002911046615659215,2.547107219696045,1719009999.484541,33,1307.7242679595947,-100.0,4000
34,2.252192258834839,0.515625,,,,1719010076.0219066,34,1384.2616336345673,,4250
